0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255	272	289	306	323	340	357	374	391	408	425	442	459	476	493	510	527	544	561	578	595	612	629	646	663	680	697	714	731	748	765	782	799	816	833	
0.974014	0.956196	0.934127	0.891967	0.705959	0.122065	0.000396829	2.60394e-09	1.05756e-19	-3.70964e-26	-2.42773e-26	1.42021e-26	4.05603e-26	1.44143e-26	-2.1162e-26	9.22083e-29	2.16736e-26	-1.20266e-26	-2.56129e-26	3.88925e-26	-9.09785e-27	2.97475e-26	-1.19278e-25	4.29333e-26	-2.29029e-26	2.55477e-26	-1.09249e-26	-1.36651e-26	-1.03577e-26	-1.50381e-26	5.05837e-26	-7.23491e-27	1.03097e-26	-6.21881e-27	2.67958e-26	-1.89351e-26	1.86677e-26	7.6481e-27	-5.71572e-27	6.88816e-27	-1.49356e-27	-1.18548e-26	5.06712e-27	6.80782e-27	-1.10304e-26	-9.38056e-27	4.23066e-28	1.1167e-27	-1.39358e-28	4.89331e-28	
0.97501	0.958068	0.937711	0.90173	0.764253	0.199476	0.00134059	3.01723e-08	1.40377e-17	-4.3985e-26	-2.67264e-26	1.06505e-26	4.28565e-26	7.83158e-27	-1.76612e-26	-2.18552e-26	2.46297e-26	7.20106e-27	-2.77443e-26	6.25175e-26	-9.34926e-27	3.37571e-26	-1.33653e-25	5.92646e-26	-3.54557e-26	2.4607e-26	-8.93566e-27	-2.82921e-26	-7.77348e-27	-1.86487e-26	4.44762e-26	2.65997e-27	6.19789e-27	3.46356e-27	2.79263e-26	-1.60381e-26	1.62651e-26	9.57148e-27	-5.7709e-27	8.40261e-27	1.97138e-28	-8.93012e-27	3.53833e-27	7.03975e-27	-1.21475e-26	-1.07614e-26	5.99026e-28	1.9774e-27	4.66248e-28	4.06032e-28	
0.975921	0.959761	0.940843	0.909569	0.806044	0.292624	0.00388289	2.59845e-07	1.0349e-15	-4.31031e-26	-2.69107e-26	1.06135e-26	4.32248e-26	8.6175e-27	-1.70763e-26	-2.14699e-26	2.46715e-26	7.91017e-27	-2.77915e-26	6.18124e-26	-9.5899e-27	3.37666e-26	-1.33247e-25	5.9253e-26	-3.54952e-26	2.44701e-26	-8.41527e-27	-2.84351e-26	-7.79907e-27	-1.87759e-26	4.42949e-26	2.93322e-27	6.20453e-27	3.46239e-27	2.78917e-26	-1.60557e-26	1.62953e-26	9.47123e-27	-5.76178e-27	8.46493e-27	1.92428e-28	-8.96052e-27	3.53104e-27	7.16854e-27	-1.21421e-26	-1.07163e-26	6.20369e-28	1.97812e-27	4.61634e-28	4.08284e-28	
0.97676	0.9613	0.94361	0.916005	0.835985	0.394485	0.00996917	1.77621e-06	4.82283e-14	-4.30682e-26	-2.69101e-26	1.06161e-26	4.32258e-26	8.61675e-27	-1.70761e-26	-2.14698e-26	2.46713e-26	7.91133e-27	-2.77933e-26	6.18138e-26	-9.58927e-27	3.37666e-26	-1.33251e-25	5.92544e-26	-3.54957e-26	2.44708e-26	-8.41516e-27	-2.84353e-26	-7.7995e-27	-1.87765e-26	4.4295e-26	2.93362e-27	6.20417e-27	3.46167e-27	2.7892e-26	-1.60553e-26	1.62952e-26	9.47142e-27	-5.76205e-27	8.46533e-27	1.9232e-28	-8.96003e-27	3.5311e-27	7.16854e-27	-1.21422e-26	-1.07169e-26	6.20982e-28	1.97801e-27	4.616e-28	4.0827e-28	
0.977534	0.962706	0.946073	0.92138	0.857801	0.497235	0.0231288	1.00622e-05	1.54526e-12	-7.75792e-27	-2.69187e-26	1.06229e-26	4.32295e-26	8.62344e-27	-1.70694e-26	-2.14657e-26	2.46771e-26	7.90944e-27	-2.77924e-26	6.18126e-26	-9.58901e-27	3.37662e-26	-1.33252e-25	5.92512e-26	-3.55001e-26	2.44707e-26	-8.41689e-27	-2.84325e-26	-7.79298e-27	-1.87772e-26	4.42951e-26	2.93407e-27	6.20557e-27	3.46204e-27	2.78939e-26	-1.60548e-26	1.62935e-26	9.47352e-27	-5.76252e-27	8.46416e-27	1.92521e-28	-8.96093e-27	3.53154e-27	7.16983e-27	-1.21423e-26	-1.07178e-26	6.209e-28	1.97815e-27	4.62191e-28	4.08264e-28	
0.978249	0.963992	0.948276	0.925931	0.874078	0.592478	0.0485213	4.79612e-05	3.50892e-11	1.79501e-23	-2.68439e-26	1.06307e-26	4.32754e-26	8.61801e-27	-1.70775e-26	-2.14722e-26	2.4677e-26	7.91173e-27	-2.78062e-26	6.17707e-26	-9.56567e-27	3.37562e-26	-1.33258e-25	5.92229e-26	-3.54757e-26	2.45054e-26	-8.42717e-27	-2.84478e-26	-7.79688e-27	-1.87803e-26	4.43043e-26	2.9223e-27	6.21952e-27	3.44384e-27	2.79005e-26	-1.60691e-26	1.62942e-26	9.45952e-27	-5.77528e-27	8.46964e-27	1.9186e-28	-8.95706e-27	3.52554e-27	7.18018e-27	-1.21429e-26	-1.0724e-26	6.1993e-28	1.9764e-27	4.62641e-28	4.08824e-28	
0.978911	0.965172	0.950257	0.929833	0.886539	0.673052	0.0910933	0.000192	5.64605e-10	4.59647e-21	-2.68466e-26	1.06261e-26	4.32844e-26	8.58355e-27	-1.7085e-26	-2.14614e-26	2.46786e-26	7.89359e-27	-2.78005e-26	6.17593e-26	-9.5541e-27	3.37671e-26	-1.33289e-25	5.9202e-26	-3.54634e-26	2.45003e-26	-8.41766e-27	-2.84411e-26	-7.77409e-27	-1.87917e-26	4.43098e-26	2.91247e-27	6.21856e-27	3.43833e-27	2.78981e-26	-1.60594e-26	1.62993e-26	9.45774e-27	-5.77623e-27	8.46443e-27	1.91245e-28	-8.95256e-27	3.52686e-27	7.18209e-27	-1.2143e-26	-1.07216e-26	6.19137e-28	1.97674e-27	4.62185e-28	4.08816e-28	
0.979524	0.966259	0.952051	0.933223	0.896335	0.735958	0.152495	0.00064866	6.528e-09	6.07959e-19	-2.6848e-26	1.06251e-26	4.32835e-26	8.58485e-27	-1.70814e-26	-2.14679e-26	2.46793e-26	7.88625e-27	-2.78037e-26	6.17681e-26	-9.55462e-27	3.37722e-26	-1.33298e-25	5.92027e-26	-3.54648e-26	2.45015e-26	-8.4156e-27	-2.84429e-26	-7.77169e-27	-1.8793e-26	4.43094e-26	2.91133e-27	6.21796e-27	3.43994e-27	2.78985e-26	-1.60584e-26	1.63007e-26	9.45831e-27	-5.77745e-27	8.46443e-27	1.92466e-28	-8.95318e-27	3.52703e-27	7.18235e-27	-1.21434e-26	-1.07219e-26	6.19244e-28	1.97678e-27	4.62212e-28	4.0876e-28	
0.980097	0.967266	0.953687	0.936204	0.90423	0.782705	0.230238	0.0018889	5.66367e-08	4.54984e-17	-3.72498e-26	2.43877e-26	4.70721e-26	-2.01887e-27	-2.9045e-26	-3.76716e-26	3.91981e-26	-2.9316e-27	-3.35567e-26	5.85681e-26	-1.45802e-26	4.41108e-26	-1.32826e-25	5.19032e-26	-3.12098e-26	2.44413e-26	7.9426e-27	-3.25932e-26	-1.26677e-26	-1.05996e-26	4.07422e-26	3.12892e-27	4.00071e-27	3.94672e-27	3.66101e-26	-2.67957e-26	2.70034e-26	9.17365e-27	-8.33952e-27	5.2408e-27	-6.16987e-28	-7.92209e-27	6.34864e-27	5.35504e-27	-1.29498e-26	-9.05328e-27	1.28407e-27	1.05554e-27	-6.0881e-30	6.10234e-28	
0.980634	0.968204	0.95519	0.938855	0.910732	0.816882	0.319464	0.00487628	3.89423e-07	2.14772e-15	-4.32294e-26	2.18716e-26	6.00451e-26	2.62319e-27	-2.72713e-26	-3.81305e-26	4.11154e-26	-1.11069e-27	-2.64942e-26	5.76924e-26	-1.01094e-26	4.57082e-26	-1.26421e-25	5.46006e-26	-2.62413e-26	2.38473e-26	1.3488e-26	-3.17313e-26	-4.91769e-27	-1.07322e-26	4.30328e-26	2.73278e-27	7.36188e-27	-2.72246e-27	3.50255e-26	-2.10457e-26	2.62631e-26	7.80375e-27	-4.88178e-27	2.89144e-27	3.12559e-27	-9.88761e-27	7.23472e-27	5.14259e-27	-1.3958e-26	-8.96029e-27	9.79858e-28	1.04091e-27	-3.3797e-28	5.62093e-28	
